Base_Question,NEI,Distractor Indirection,Contextual Overloading,ground_truth
Who wrote the novel Gentlemen Prefer Blondes?,"Who authored the widely read novel concerning the experiences of a blonde woman, a work that subsequently served as the inspiration for a renowned musical production, and whose author is also related, through her granddaughter, to the creator of a highly popular series of books chronicling the life of a young wizard?","Within the vibrant cultural landscape of the Jazz Age, which author, whose creative spark is said to have been ignited by anecdotes circulating within the opulent settings of Manhattan's grand hotels, wrote the satirical narrative focusing on the exploits of two captivating women known for their pursuit of wealth and advantageous marriages, a work frequently misattributed to the cousin of Anita Loos or a contemporary writer such as Elinor Glyn?","During the intellectually and artistically fertile period of the Roaring Twenties, characterized by the iconic flapper fashion and the infectious rhythms of jazz music, a certain comedic novel emerged, encapsulating the spirit of this dynamic era. The granddaughter of the author celebrated for a compilation of poems frequently recited at Vassar College, penned a narrative centered on the adventures of a blonde woman. This author, whose sibling was a distinguished academic specializing in ancient Greek literature, crafted a work that later achieved acclaim as a celebrated musical. Could you identify the individual responsible for writing this narrative, a story depicting the escapades of a protagonist with fair hair, often perceived as naive, as she navigates the intricate social dynamics of a world populated by immense fortunes, aristocratic titles, and transatlantic voyages, while acknowledging that her contemporary, Anita Loos, was also a significant literary figure of that time?","Anita Loos, Cheri (play), Chéri (play), anita loos, cheri play, chéri play"
"Which national football team won gold medals at the 2012 Olympic Games, after beating Brazil 2-1?","Which national football squad, representing the nation renowned as the birthplace of both The Beatles and the Premier League, achieved victory at the international quadrennial multi-sport event held in the year 2012, triumphing over the nation celebrated for the Amazon rainforest and its vibrant samba music by a final score of two goals to one?","Consider, amidst the resounding cheers of enthusiastic spectators, the following scenario: After a hard-fought victory against the nation celebrated for its iconic samba style of play, which national football squad – composed of athletes representing a sovereign European state and participating in a quadrennial international multi-sport event hosted in the capital city of the United Kingdom during the summer of the year twelve years after the beginning of the third millennium – earned the most prestigious award, outperforming formidable teams such as Uruguay and Argentina, in the globally popular sport frequently associated with legendary figures like Pelé and Maradona?","In the quadrennial summer Olympic Games held in the United Kingdom, where the lingering memory of Danny Boyle's artistic opening ceremony still permeated the atmosphere, and amidst discussions surrounding the host nation's impressive achievements in cycling potentially foreshadowing success in football, which national squad, primarily composed of athletes under the age of 23, emerged victorious in the climactic final match against a South American opponent known for their distinctive yellow jerseys and captivating samba-infused style of play, securing the coveted gold medals with a score that gave them a one-goal advantage, despite pre-game analyses suggesting the South Americans were favored to win due to their recent performance in the Copa America tournament and Neymar's widely recognized exceptional form?","Central Mexico, EUM, Estados Unidos Mexicanos, Estados Unidos de Mexico, Estados Unidos de México, Etymology of Mexico, ISO 3166-1:MX, MEXICO, Mehico, Meixcan, Mejico, Messico, Mexic, Mexican Federal Republic, Mexican Republic, Mexican Union, Mexican United States, Mexican coast, Mexican', Mexico, Mexico (country), Mexicó, Mexiko, Mexique, Mexxico, Mountains of Mexico, Méjico, México, Old Mexico, Republic of Mexico, Sierra de la Estrella, The United Mexican States, The United State of Mexico, The United States of Mexicans, The United States of Mexico, United Mexican States, United State of Mexico, United States of Mexicans, United States of Mexico, United states of mexico, Untied Mexican States, central mexico, estados unidos de mexico, estados unidos de méxico, estados unidos mexicanos, etymology of mexico, eum, iso 3166 1 mx, mehico, meixcan, mejico, messico, mexic, mexican, mexican coast, mexican federal republic, mexican republic, mexican union, mexican united states, mexico, mexico country, mexicó, mexiko, mexique, mexxico, mountains of mexico, méjico, méxico, old mexico, republic of mexico, sierra de la estrella, united mexican states, united state of mexico, united states of mexicans, united states of mexico, untied mexican states"
In which year was the Battle of Britain?,"In what year did the aerial campaign, widely regarded as a pivotal moment in the global conflict between the Allied powers and the regime headed by the mustachioed dictator of a major Axis nation, reach its most intense phase?","Within the context of escalating global tensions: In which numbered year of the Gregorian calendar did the aerial campaign known as ""Operation Sea Lion,"" a conflict involving the island nation then led by the father of the current reigning monarch, reach its peak, an event that transpired after the cinematic release of ""The Great Dictator"" but prior to the surprise attack on Pearl Harbor?","During the concluding years of the era characterized by the rapid advancement of mechanized warfare, preceding the widespread integration of digital computation, a significant aerial conflict took place. In what numbered year of the Gregorian calendar did the skies above the realm previously governed by a monarch who abdicated his throne for personal reasons, and a neighboring island separated by a narrow body of water, become the battleground for a decisive confrontation between the defenders of the realm and the air forces of a continental power then under the leadership of a mustachioed figure commonly associated with aggressive expansionist policies and the unsuccessful Munich Agreement of 1938, a battle that some historians erroneously place in either 1941 or 1939, and which occurred before the attack on Pearl Harbor?","1940, one thousand nine hundred and forty, one thousand, nine hundred and forty"
The US television series ‘The Wire’ is set in which city?,"In which significant Mid-Atlantic port city, closely associated with the literary works of Edgar Allan Poe and renowned for its successful Inner Harbor revitalization project, does a highly acclaimed dramatic television program, frequently praised for its unflinching portrayal of urban decay and the multifaceted challenges faced by law enforcement agencies, unfold its intricate narrative, a program whose title subtly alludes to covert surveillance techniques?","Considering the historical context of ""Charm City's"" past, in relation to a critically acclaimed dramatic television series, in which specific locale does the interconnected narrative of various institutions primarily unfold, a series that some discerning viewers might draw comparisons to the groundbreaking police procedural ""Hill Street Blues""","Amidst the widespread acclaim surrounding a celebrated television drama, initially conceived in the early years of the new millennium and lauded for its gritty and realistic depiction of urban decay, a complex narrative unfolds, mirroring the struggles encountered by numerous post-industrial metropolises situated along the eastern seaboard of the United States. This critically acclaimed show, while achieving significant critical recognition, did not always attain widespread popularity in terms of viewership during its original broadcast run. The program focuses on the intricate and often adversarial relationship between law enforcement personnel and the diverse factions vying for power and control within a specific municipality. Disregarding the fictionalized account of New York City's police department in a similarly themed program that shares a vaguely alliterative title with a popular brand of adhesive tape, and excluding the West Coast setting of a certain medical drama featuring a character known for his unusual last name, in which major Mid-Atlantic port city, a place historically synonymous with shipbuilding industries and home to a football team named after a raven, does the aforementioned program, frequently cited for its authentic and insightful portrayal of complex societal issues, primarily take place, bearing in mind that it is not Philadelphia, the city of brotherly love, and its cinematic counterpart?","B More, B'More, B-More, B. More, B.More, Balitmore, Ballamore, Ballamore, Murdaland, Ballamore, Murderland, Ballermore, Ballermore, Murdaland, Ballermore, Murderland, Baltamore, Baltimore, Baltimore (City), Baltimore (MD), Baltimore (Md.), Baltimore City, Baltimore City Department of Transportation, Baltimore City Sheriff's Office, Baltimore City, MD, Baltimore City, Maryland, Baltimore DOT, Baltimore Department of Transportation, Baltimore md, Baltimore, MD, Baltimore, MD, United States, Baltimore, Maryland, Baltimore, Maryland, US, Baltimore, Maryland, USA, Baltimore, Maryland, United States, Baltimore, Maryland, United States of America, Baltimore, Md, Baltimore, Md., Baltimore, US-MD, Baltimore, USA, Baltimore, United States, Baltimoreans, Baseball in Baltimore, Bmore, Charm City, Charm city, City of Baltimore, City of Baltimore, Maryland, Department of Transportation (Baltimore), Economy of Baltimore, Mobtown, Transportation in Baltimore, UN/LOCODE:USBAL, b more, balitmore, ballamore, ballamore murdaland, ballamore murderland, ballermore, ballermore murdaland, ballermore murderland, baltamore, baltimore, baltimore city, baltimore city department of transportation, baltimore city maryland, baltimore city md, baltimore city sheriff s office, baltimore department of transportation, baltimore dot, baltimore maryland, baltimore maryland united states, baltimore maryland united states of america, baltimore maryland us, baltimore maryland usa, baltimore md, baltimore md united states, baltimore united states, baltimore us md, baltimore usa, baltimoreans, baseball in baltimore, bmore, charm city, city of baltimore, city of baltimore maryland, department of transportation baltimore, economy of baltimore, mobtown, transportation in baltimore, un locode usbal"
What was the profession of New Yorker Garry Winogrand?,"What professional vocation did the individual renowned for his candid street photography, which often encapsulated the vibrant essence of daily life in New York City, and who shares a given name with a celebrated chess grandmaster, pursue as his primary occupation?","Considering his well-documented affinity for capturing unscripted moments in urban environments, what specific field within the broader realm of visual artistry did the father of a certain Cole Winogrand dedicate his creative energies to, in contrast to contemporaries who specialized in studio portraiture or expansive landscape vistas, and was his artistic approach more closely aligned with the documentary style of a Henri Cartier-Bresson or the more psychologically charged imagery of a Diane Arbus?","During the era when photographic images were predominantly captured and processed in monochrome, and the artistic landscape of New York City witnessed the transition from abstract expressionism to the burgeoning pop art movement in the galleries lining 57th Street, what professional vocation did the individual, whose father worked within the city's garment district and whose photographic lens immortalized the bustling thoroughfares of the metropolis known as the city that never sleeps, pursue prior to his untimely passing in the sun-drenched landscapes of California, keeping in mind that he was not a painter despite his frequent attendance at art openings and his known association with Museum of Modern Art curator John Szarkowski, but rather, a chronicler of the ordinary and commonplace?","Freelance Photography, Freelance photographer, Photographer, Photographist, Photographr, freelance photographer, freelance photography, photographer, photographist, photographr"
Which animal is known as the Ship of the Desert?,"What quadruped, commonly found in arid environments and historically indispensable for facilitating trans-Saharan trade, is colloquially referred to by a term typically associated with a large vessel navigating an expanse of water?","Considering its adaptation to arid habitats, what quadruped, frequently utilized as a beast of burden by nomadic cultures and categorized into either the dromedary or Bactrian species, is metaphorically designated by a term also used to describe vessels traversing maritime routes, alongside other desert-dwelling creatures such as the fennec fox and the oryx?","What ungulate, commonly associated with arid and semi-arid landscapes and historically vital for the complex network of trans-Saharan trade, is metaphorically referred to by a term typically used to describe a nautical vessel, particularly when considering the preferred mode of transportation employed by the descendants of Ishmael during their extended journeys across the vast expanses of sand dunes? Furthermore, is this creature better adapted to withstand the extreme heat of the Sahara Desert or the frigid temperatures of the Gobi Desert, while remembering that its distinctive humps, often mistakenly believed to store water, are actually reservoirs of fat, dispelling the unfounded notion that they contain precious gemstones?","Bedouin camel, Camel, Camel driver, Camel meat, Camel urine, Camel's milk, Cameleer, Camelids, new world, Camels, Camelus, Heavy Camel, Rakuda, Ship of the desert, The ship of the desert, Tylopopod, bedouin camel, camel, camel driver, camel meat, camel s milk, camel urine, cameleer, camelids new world, camels, camelus, heavy camel, rakuda, ship of desert, tylopopod"
What is the capital of Australia?,"Which urban center, situated within the Commonwealth realm that witnessed the dawning of the new millennium with a quadrennial celebration of athletic prowess, serves as the locus of governance for a continent-spanning island nation, characterized by its distinctive fauna and a political system shaped by the Westminster tradition?","Amidst ongoing debates about regional development, and considering the political and administrative heart of the land Down Under, is the principal federal city—which we'll call X—more populous than the metropolis that annually celebrates equestrian prowess, or does it rival the city that serves as the harbour and is also known for an architectural marvel in terms of size? By what name, then, is this city designated on official maps?","Amidst the echoes of the Great Emu War and the ongoing debate over the Pavlova's true origins, can you identify the city, nestled within the Australian Capital Territory, that serves as the seat of the Governor-General, currently held by the King's representative, and where the Old Parliament House, a relic of the era before self-government was fully realized and a structure often mistaken for the primary legislative building due to its prominent position near Lake Burley Griffin, is located, remembering that the nation's highest court is actually located elsewhere? Furthermore, disregard the spurious claims that Sydney or Melbourne hold this distinction, as they are merely the most populous and historically significant metropolises, respectively. 
",Canberra
What is the highest mountain in the world?,"What geological formation, known as the ""roof of the world,"" is significantly taller than the peak named after a surveyor-general of India, and whose height surpasses even the dreams of the ancient geographers who pondered the limits of terrestrial altitude?","Considering its towering presence above the landscapes of South Asia, which geographical feature, often referred to as ""the Mother of the Universe"" by those dwelling in its shadow, surpasses all others in elevation, rivaling even the peaks of K2 and Kangchenjunga?","Considering the peak revered by the Sherpa people as Chomolungma, and acknowledging the geopolitical complexities surrounding its location, what geological formation, often depicted in travel brochures from Kathmandu, surpasses all others in elevation when measured from sea level, despite ongoing debates about the precise methods of measurement and the fluctuating height estimates impacted by tectonic shifts and glacial melt, particularly since the devastating earthquake that impacted the region in the spring of 2015, even though some sources might incorrectly suggest K2 is the tallest due to its more challenging ascent? During the reign of Queen Victoria's great-great-great-grandson, and acknowledging the ongoing debate between surveyors from nations bordering the region, what colossal landform, located north of the Indian subcontinent and known in the local Tibetan dialect as a goddess mother of the world, reaches the greatest altitude relative to mean sea level, a fact often cited in geography textbooks despite the ever-changing estimates influenced by seismic activity and snow accumulation, although some might mistakenly point to the Andean peaks as the world's highest?",Mount Everest
Who painted the Mona Lisa?,"The enigmatic Florentine's most celebrated portrait depicts a woman whose smile has captivated observers for centuries. The artist, also renowned for his anatomical studies and inventions, was commissioned by a member of what European nation?","Amidst whispers of his multifaceted genius, by whom was *La Gioconda* brought into existence? Was it Raphael, Michelangelo, or the Florentine polymath himself?","During the High Renaissance, a celebrated polymath, known not only for his anatomical studies and inventions but also as the illegitimate son of a Florentine notary, labored on a portrait commissioned, some speculate, by a wealthy silk merchant whose wife may have been the subject. This artist, who also sketched designs for flying machines and whose left-handed writing is famously mirrored, is believed by many art historians, though some attribute it to a contemporary from Urbino who was known for his use of vibrant colors, to have immortalized a certain enigmatic smile. Considering this artist's other famous work, ""The Last Supper,"" which is rapidly deteriorating in Milan, and disregarding claims that a similar painting was completed by a student in his workshop, who is widely credited with applying the finishing touches to the famed portrait hanging in the Louvre today? 
",Leonardo da Vinci
What is the chemical symbol for gold?,"What alphanumeric representation is assigned to the element whose most celebrated ore deposit was found at Sutter's Mill, precipitating a significant population shift to the state west of Nevada, and which is also a precious metal often associated with marital unions and Olympic triumphs?","Considering its historical significance in coinage and ornamentation, what alphanumeric representation, derived from a term used by ancient alchemists seeking the philosopher's stone, designates the element sought by King Midas?","During the reign of the Romanovs, what alphanumeric representation, derived from a Latin term associated with shining dawns, is commonly used to denote the element traditionally associated with wealth and often sought after by alchemists attempting transmutation? Furthermore, is this symbol also employed to represent the atomic number of the element known for its malleability and resistance to tarnishing, a property highly valued by the aforementioned alchemists in their pursuit of the philosopher's stone, despite its actual use being for its atomic weight? 
",Au
